,latitude,longitude
0,1.0034092721013994,101.9654878163474
1,-0.0742047887515405,102.42433824043138
2,-0.1474207522077581,101.77758676057857
3,0.0001574826675286945,111.84708638207184
4,1.7225937555781774,101.28259763374938
5,1.7229170858997254,101.38978744867346
6,-9.213112461538461,120.9770331826923
7,0.9992639909139964,101.74048139491966
8,0.32222023889058526,102.51526494184803
9,-8.306235749999999,138.56010016666667
10,1.0416523264429287,101.80034104842679
11,3.7379850123456784,108.25289213580245
12,1.7976003268833076,101.2425765520509
13,-4.0690620153712125,106.20392984068182
14,0.07814611188281675,102.65326382061534
15,1.754112801801585,101.25392282772552
16,-0.8480893776493519,102.22839282337932
17,-1.162891882352941,131.32468552941174
18,0.7890691103143318,102.19103637311414
19,1.4173403865213299,109.21419476969149
